ItemId,SeriesId,IsCollection
98067,,1
99960,,1
98076,,1
99961,,1
98080,,1
99964,,1
98095,,1
99965,,1
98111,,1
85953,,1
85954,,1
84240,,1
84264,,1
84391,,1
84398,,1
84409,,1
85963,,1
85964,,1
84499,,1
85968,,1
85969,,1
85970,,1
84560,,1
85975,,1
85978,,1
84701,,1
84710,,1
84850,,1
85982,,1
84876,,1
85986,,1
85792,,1
86077,,1
86078,,1
86081,,1
86087,,1
86088,,1
86103,,1
87993,,1
86008,,1
86382,,1
92997,,1
92998,,1
92999,,1
93000,,1
93001,,1
93002,,1
93003,,1
93004,,1
93005,,1
93006,,1
93007,,1
93009,,1
93021,,1
93029,,1
93031,,1
93032,,1
93034,,1
93037,,1
93039,,1
93040,,1
93042,,1
93045,,1
93046,,1
93049,,1
93050,,1
93052,,1
93057,,1
93059,,1
93063,,1
93065,,1
93066,,1
93071,,1
93072,,1
93073,,1
93079,,1
93080,,1
93081,,1
93083,,1
93084,,1
93086,,1
93089,,1
93092,,1
93094,,1
93095,,1
93100,,1
93101,,1
93108,,1
93099,,1
93106,,1
105944,,1
105946,,1
104791,,1
106366,,1
107038,,1
107984,,1
107998,,1
108479,,1
109752,,1
109773,,1
108753,,1
109808,,1
109815,,1
109816,,1
109852,,1
109858,,1
109875,,1
110645,,1
111862,,1
111898,,1
111962,,1
111982,,1
111985,,1
111986,,1
111995,,1
113895,,1
113910,,1
113928,,1
113938,,1
113944,,1
113945,,1
112837,,1
113961,,1
113955,,1
112943,,1
113967,,1
113969,,1
113970,,1
113973,,1
113976,,1
113326,,1
113327,,1
113977,,1
113985,,1
113989,,1
115976,,1
115980,,1
115981,,1
115982,,1
115983,,1
115984,,1
115985,,1
115986,,1
115987,,1
115993,,1
116026,,1
116029,,1
117851,,1
117843,,1
116222,,1
116249,,1
116252,,1
116266,,1
117865,,1
118000,,1
116374,,1
116393,,1
116399,,1
116403,,1
116415,,1
116438,,1
116458,,1
116465,,1
117875,,1
117876,,1
117877,,1
117882,,1
117884,,1
117885,,1
117888,,1
117891,,1
117894,,1
116649,,1
117898,,1
117899,,1
116678,,1
117901,,1
116695,,1
117904,,1
116705,,1
116712,,1
117905,,1
117906,,1
117910,,1
117911,,1
117914,,1
117916,,1
116726,,1
117917,,1
116727,,1
116731,,1
116743,,1
117920,,1
117921,,1
117922,,1
117931,,1
117938,,1
117029,,1
117946,,1
117951,,1
117197,,1
117261,,1
117955,,1
117275,,1
117959,,1
117369,,1
117962,,1
117963,,1
117964,,1
117966,,1
117967,,1
117968,,1
117969,,1
117971,,1
117974,,1
117975,,1
117978,,1
117627,,1
117665,,1
117695,,1
117987,,1
117989,,1
117990,,1
117991,,1
117992,,1
117994,,1
117995,,1
117997,,1
118036,,1
118041,,1
118861,,1
118862,,1
118064,,1
118865,,1
118096,,1
118098,,1
118099,,1
118100,,1
118102,,1
118103,,1
118106,,1
118110,,1
118112,,1
118118,,1
118119,,1
118130,,1
118137,,1
118138,,1
118139,,1
118155,,1
118156,,1
118157,,1
118870,,1
118871,,1
118872,,1
118873,,1
118888,,1
118889,,1
118893,,1
118352,,1
118353,,1
118368,,1
118894,,1
118371,,1
118897,,1
118898,,1
118902,,1
118908,,1
118911,,1
118400,,1
118914,,1
118915,,1
118412,,1
118426,,1
118921,,1
118923,,1
118481,,1
118485,,1
118486,,1
118505,,1
118506,,1
118529,,1
118539,,1
118554,,1
118556,,1
118557,,1
118568,,1
118596,,1
118627,,1
118633,,1
118639,,1
118641,,1
118642,,1
118646,,1
118647,,1
118652,,1
