# arcade-merge-cards reviewed pairs — generated 2026-08-19
# system	srcCollapseKey	dstCollapseKey	signals	# srcTitle => dstTitle
genesis	toejamandearlinpanicauffunkotron	toejamandearlinpaniconfunkotron	lb-alias	# ToeJam & Earl in Panic auf Funkotron => ToeJam & Earl in Panic on Funkotron
genesis	twistedflipper	crueballheavymetalpinball	lb-alias	# Twisted Flipper => Crue Ball - Heavy Metal Pinball
genesis	volfied	ultimateqix	lb-alias,ra	# Volfied => Ultimate QIX
genesis	wardnernomorispecial	wardner	igdb,lb-alias	# Wardner no Mori Special => Wardner
genesis	whiprushwakuseivoltegasnonazo	whiprush	lb-alias	# Whip Rush - Wakusei Voltegas no Nazo => Whip Rush
genesis	wizardofimmortal	immortal	lb-alias	# Wizard of the Immortal => The Immortal
genesis	wiznlizfranticwabbitwescue	wiznliz	lb-alias,ra	# Wiz'n'Liz - The Frantic Wabbit Wescue => Wiz'n'Liz
genesis	worldofillusionfushiginamagicbox	worldofillusionstarringmickeymouseanddonaldduck	lb-alias	# World of Illusion - Fushigi na Magic Box => World of Illusion Starring Mickey Mouse and Donald Duck
genesis	xinqigaiwangzi	beggarprince	lb-alias	# Xin Qi Gai Wang Zi => Beggar Prince
genesis	yuyuhakushosunsetfighters	yuyuhakushomakyoutoitsusen	lb-alias,ra	# YuYu Hakusho - Sunset Fighters => Yu Yu Hakusho - Makyou Toitsusen
genesis	zombies	zombiesatemyneighbors	lb-alias,ra	# Zombies => Zombies Ate My Neighbors
genesis	zouzouzourescuedaisakusen	rolotorescue	lb-alias,ra	# Zou! Zou! Zou! Rescue Daisakusen => Rolo to the Rescue
gg	arlielcrystaldensetsu	crystalwarriors	lb-alias	# Arliel - Crystal Densetsu => Crystal Warriors
gg	axbattlergoldenaxedensetsu	axbattlerlegendofgoldenaxe	lb-alias	# Ax Battler - Golden Axe Densetsu => Ax Battler - A Legend of Golden Axe
gg	bakubakuanimalsekaishiikugakarisenshuken	bakubakuanimal	lb-alias	# Baku Baku Animal - Sekai Shiikugakari Senshu-ken => Baku Baku Animal
gg	desertstrike	desertstrikereturntogulf	igdb,lb-alias	# Desert Strike => Desert Strike - Return to the Gulf
gg	donaldducknoluckydime	luckydimecaperstarringdonaldduck	lb-alias	# Donald Duck no Lucky Dime => The Lucky Dime Caper Starring Donald Duck
gg	dragoncrystaltsuraninomeikyuu	dragoncrystal	igdb,lb-alias	# Dragon Crystal - Tsurani no Meikyuu => Dragon Crystal
gg	ganbaregorby	factorypanic	lb-alias	# Ganbare Gorby! => Factory Panic
gg	garoudensetsuspecial	fatalfuryspecial	lb-alias	# Garou Densetsu Special => Fatal Fury Special
gg	ggshinobi	shinobi	lb-alias,ra	# The GG Shinobi => Shinobi
gg	heavyweightchamp	georgeforemanskoboxing	lb-alias	# Heavy Weight Champ => George Foreman's KO Boxing
gg	inwakeofvampire	vampiremasterofdarkness	lb-alias,ra	# In the Wake of Vampire => Vampire - Master of Darkness
gg	kickandrush	tengenworldcupsoccer	lb-alias,ra	# Kick & Rush => Tengen World Cup Soccer
gg	masterofdarkness	vampiremasterofdarkness	lb-alias	# Master of Darkness => Vampire - Master of Darkness
gg	mickeymousedensetsunooukokulegendofillusion	legendofillusionstarringmickeymouse	lb-alias	# Mickey Mouse Densetsu no Oukoku - Legend of Illusion => Legend of Illusion Starring Mickey Mouse
gg	mickeymousenocastleillusion	castleofillusionstarringmickeymouse	lb-alias	# Mickey Mouse no Castle Illusion => Castle of Illusion Starring Mickey Mouse
gg	mickeymousenomahounocrystal	landofillusionstarringmickeymouse	lb-alias	# Mickey Mouse no Mahou no Crystal => Land of Illusion Starring Mickey Mouse
gg	mortalkombatshinkenkourindensetsu	mortalkombat	igdb,lb-alias	# Mortal Kombat - Shinken Kourin Densetsu => Mortal Kombat
